275 227 527 525 228
276 527 528 526 525
277 528 236 235 526
278 38 225 527 227
279 225 226 528 527
280 226 33 236 528
281 296 14 284 615
282 615 284 283 616
283 616 283 43 305
284 297 296 615 617
285 617 615 616 618
286 618 616 305 304
287 298 297 617 619
288 619 617 618 620
289 620 618 304 303
290 299 298 619 621
291 621 619 620 622
292 622 620 303 302
293 300 299 621 623
294 623 621 622 624
295 624 622 302 301
296 5 300 623 295
297 295 623 624 294
298 294 624 301 44
299 419 420 123 124
300 420 125 18 123
301 421 422 420 419
302 422 126 125 420
303 423 424 422 421
304 424 127 126 422
305 129 419 124 19
306 130 421 419 129
307 131 423 421 130
308 425 426 135 136
309 426 427 134 135
310 427 121 11 134
311 423 428 426 425
312 428 429 427 426
313 429 122 121 427
314 128 430 137 20
315 430 425 136 137
316 127 424 430 128
317 424 423 425 430
318 429 133 17 122
319 428 132 133 429
320 423 131 132 428
321 3 269 583 282
322 269 270 584 583
323 270 41 273 584
324 282 583 585 281
325 583 584 586 585
326 584 273 274 586
327 281 585 587 280
328 585 586 588 587
329 586 274 275 588
330 280 587 589 279
331 587 588 590 589
332 588 275 276 590
333 279 589 591 278
334 589 590 592 591
335 590 276 277 592
336 278 591 271 13
337 591 592 272 271
338 592 277 42 272
339 89 375 75 1
340 375 376 76 75
341 376 377 77 76
342 377 378 78 77
343 378 379 79 78
344 379 88 6 79
345 90 380 375 89
346 380 381 376 375
347 381 382 377 376
348 382 383 378 377
349 383 384 379 378
350 384 87 88 379
351 91 385 380 90
352 385 386 381 380
353 386 387 382 381
354 387 388 383 382
355 388 389 384 383
356 389 86 87 384
357 92 390 385 91
358 390 391 386 385
359 391 392 387 386
360 392 393 388 387
361 393 394 389 388
362 394 85 86 389
363 8 84 390 92
364 84 83 391 390
365 83 82 392 391
366 82 81 393 392
367 81 80 394 393
368 80 9 85 394
369 343 344 51 50
370 344 345 52 51
371 345 53 1 52
372 346 347 344 343
373 347 348 345 344
374 348 54 53 345
375 55 349 49 2
376 349 343 50 49
377 56 350 349 55
378 350 346 343 349
379 348 63 3 54
380 347 62 63 348
381 346 61 62 347
382 56 57 351 350
383 57 58 352 351
384 58 4 64 352
385 350 351 353 346
386 351 352 354 353
387 352 64 65 354
388 65 5 59 354
389 354 59 60 353
390 353 60 61 346
391 19 174 647 323
392 174 173 648 647
393 173 172 649 648
394 172 171 650 649
395 171 170 651 650
396 170 21 320 651
397 323 647 652 322
398 647 648 653 652
399 648 649 654 653
400 649 650 655 654
401 650 651 656 655
402 651 320 321 656
403 322 652 315 46
404 652 653 316 315
405 653 654 317 316
406 654 655 318 317
407 655 656 319 318
408 656 321 45 319
409 443 444 152 151
410 444 153 23 152
411 445 446 444 443
412 446 154 153 444
413 157 447 149 22
414 447 448 150 149
415 448 443 151 150
416 158 449 447 157
417 449 450 448 447
418 450 445 443 448
419 158 24 159 449
420 449 159 160 450
421 450 160 161 445
422 161 162 451 445
423 162 163 452 451
424 163 25 164 452
425 164 165 453 452
426 165 26 156 453
427 452 453 454 451
428 453 156 155 454
429 451 454 446 445
430 454 155 154 446
431 329 657 138 15
432 657 658 139 138
433 658 659 140 139
434 659 660 141 140
435 660 661 142 141
436 661 320 21 142
437 330 662 657 329
438 662 663 658 657
439 663 664 659 658
440 664 665 660 659
441 665 666 661 660
442 666 321 320 661
443 47 328 662 330
444 328 327 663 662
445 327 326 664 663
446 326 325 665 664
447 325 324 666 665
448 324 45 321 666
449 133 677 331 17
450 677 678 332 331
451 678 342 48 332
452 132 679 677 133
453 679 680 678 677
454 680 341 342 678
455 131 681 679 132
456 681 682 680 679
457 682 340 341 680
458 130 683 681 131
459 683 684 682 681
460 684 339 340 682
461 129 685 683 130
462 685 686 684 683
463 686 338 339 684
464 19 323 685 129
465 323 322 686 685
466 322 46 338 686
467 37 223 529 239
468 223 224 530 529
469 224 25 163 530
470 239 529 531 240
471 529 530 532 531
472 530 163 162 532
473 240 531 533 241
474 531 532 534 533
475 532 162 161 534
476 241 533 535 242
477 533 534 536 535
478 534 161 160 536
479 242 535 537 243
480 535 536 538 537
481 536 160 159 538
482 243 537 238 39
483 537 538 237 238
484 538 159 24 237
485 97 395 93 10
486 395 396 94 93
487 98 397 395 97
488 397 398 396 395
489 396 399 95 94
490 399 400 96 95
491 400 102 11 96
492 398 401 399 396
493 401 402 400 399
494 402 101 102 400
495 98 99 403 397
496 99 100 404 403
497 100 12 103 404
498 397 403 405 398
499 403 404 406 405
500 404 103 104 406
501 104 13 105 406
502 406 105 106 405
503 405 106 107 398
504 107 108 401 398
505 108 109 402 401
506 109 14 101 402
507 14 109 593 284
508 284 593 594 283
509 283 594 285 43
510 109 108 595 593
511 593 595 596 594
512 594 596 286 285
513 108 107 597 595
514 595 597 598 596
515 596 598 287 286
